Unnamed: 0,state,district,name,party,committee,page_link
292,North Carolina,7th,"Rouzer, David",R,Agriculture|Transportation and Infrastructure,https://rouzer.house.gov/
293,North Carolina,8th,"Bishop, Dan",R,Select Subcommittee on the Weaponization of the Fed Govt|Homeland Security|Judiciary,https://danbishop.house.gov
294,North Carolina,9th,"Hudson, Richard",R,Energy and Commerce,https://hudson.house.gov
295,North Carolina,10th,"McHenry, Patrick",R,Financial Services,https://mchenry.house.gov
296,North Carolina,11th,"Edwards, Chuck",R,Appropriations|Budget,https://edwards.house.gov
297,North Carolina,12th,"Adams, Alma",D,Agriculture|Education and the Workforce,https://adams.house.gov
298,North Carolina,13th,"Nickel, Wiley",D,Financial Services,https://nickel.house.gov
299,North Carolina,14th,"Jackson, Jeff",D,"Armed Services|Science, Space, and Technology",https://jeffjackson.house.gov
300,North Dakota,At Large,"Armstrong, Kelly",R,Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce|Judiciary,https://armstrong.house.gov
301,Northern Mariana Islands,Delegate,"Sablan, Gregorio",D,Education and the Workforce|Natural Resources,https://sablan.house.gov/
302,Ohio,1st,"Landsman, Greg",D,Small Business|Veterans' Affairs,https://landsman.house.gov
303,Ohio,2nd,"Wenstrup, Brad",R,Intelligence|Select Subcommittee on the Coronavirus Pandemic|Ways and Means,https://wenstrup.house.gov
304,Ohio,3rd,"Beatty, Joyce",D,Financial Services,https://beatty.house.gov
305,Ohio,4th,"Jordan, Jim",R,Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Judiciary,https://jordan.house.gov/
306,Ohio,5th,"Latta, Robert",R,Energy and Commerce,https://latta.house.gov/
307,Ohio,6th,"Rulli, Michael A.",R,Education and the Workforce|Judiciary,https://rulli.house.gov
308,Ohio,7th,"Miller, Max",R,"Agriculture|Science, Space, and Technology",https://maxmiller.house.gov
309,Ohio,8th,"Davidson, Warren",R,Financial Services|Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt,https://davidson.house.gov/
310,Ohio,9th,"Kaptur, Marcy",D,Appropriations,https://kaptur.house.gov/
311,Ohio,10th,"Turner, Michael",R,Armed Services|Oversight and Accountability|Intelligence,https://turner.house.gov/
312,Ohio,11th,"Brown, Shontel",D,Agriculture|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://shontelbrown.house.gov
313,Ohio,12th,"Balderson, Troy",R,Energy and Commerce,https://balderson.house.gov
314,Ohio,13th,"Sykes, Emilia",D,"Transportation and Infrastructure|Science, Space, and Technology",https://sykes.house.gov
315,Ohio,14th,"Joyce, David",R,Appropriations|Ethics,https://joyce.house.gov
316,Ohio,15th,"Carey, Mike",R,House Administration|Joint Committee of Congress on the Library|Ways and Means,https://carey.house.gov
317,Oklahoma,1st,"Hern, Kevin",R,Ways and Means,https://hern.house.gov
318,Oklahoma,2nd,"Brecheen, Josh",R,Budget|Homeland Security,https://brecheen.house.gov
319,Oklahoma,3rd,"Lucas, Frank",R,"Agriculture|Financial Services|Science, Space, and Technology",https://lucas.house.gov
320,Oklahoma,4th,"Cole, Tom",R,Appropriations,https://cole.house.gov
321,Oklahoma,5th,"Bice, Stephanie",R,"Appropriations|House Administration|Science, Space, and Technology",https://bice.house.gov
322,Oregon,1st,"Bonamici, Suzanne",D,"Education and the Workforce|Science, Space, and Technology",https://bonamici.house.gov
323,Oregon,2nd,"Bentz, Cliff",R,Natural Resources|Judiciary,https://bentz.house.gov
324,Oregon,3rd,"Blumenauer, Earl",D,Budget|Ways and Means,https://blumenauer.house.gov/
325,Oregon,4th,"Hoyle, Val",D,Natural Resources|Transportation and Infrastructure,https://hoyle.house.gov
326,Oregon,5th,"Chavez-DeRemer, Lori",R,Agriculture|Education and the Workforce|Transportation and Infrastructure,https://chavez-deremer.house.gov
327,Oregon,6th,"Salinas, Andrea",D,"Agriculture|Science, Space, and Technology",https://salinas.house.gov
328,Pennsylvania,1st,"Fitzpatrick, Brian",R,Intelligence|Ways and Means,https://fitzpatrick.house.gov/
329,Pennsylvania,2nd,"Boyle, Brendan",D,Budget,https://boyle.house.gov/
330,Pennsylvania,3rd,"Evans, Dwight",D,Ways and Means,https://evans.house.gov/
331,Pennsylvania,4th,"Dean, Madeleine",D,Foreign Affairs|Judiciary,https://dean.house.gov
332,Pennsylvania,5th,"Scanlon, Mary",D,Judiciary|Rules,https://scanlon.house.gov/
333,Pennsylvania,6th,"Houlahan, Chrissy",D,Armed Services|Intelligence,https://houlahan.house.gov/
334,Pennsylvania,7th,"Wild, Susan",D,Education and the Workforce|Foreign Affairs|Ethics,https://wild.house.gov
335,Pennsylvania,8th,"Cartwright, Matt",D,Appropriations,https://cartwright.house.gov
336,Pennsylvania,9th,"Meuser, Daniel",R,Financial Services|Small Business,https://meuser.house.gov
337,Pennsylvania,10th,"Perry, Scott",R,Foreign Affairs|Oversight and Accountability|Intelligence|Transportation and Infrastructure,https://perry.house.gov/
338,Pennsylvania,11th,"Smucker, Lloyd",R,Budget|Education and the Workforce|Ways and Means,https://smucker.house.gov/
339,Pennsylvania,12th,"Lee, Summer",D,"Oversight and Accountability|Science, Space, and Technology",https://summerlee.house.gov
340,Pennsylvania,13th,"Joyce, John",R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://johnjoyce.house.gov/
341,Pennsylvania,14th,"Reschenthaler, Guy",R,Appropriations|Rules,https://reschenthaler.house.gov/
342,Pennsylvania,15th,"Thompson, Glenn",R,Agriculture|Education and the Workforce,https://thompson.house.gov
343,Pennsylvania,16th,"Kelly, Mike",R,Ways and Means,https://kelly.house.gov
344,Pennsylvania,17th,"Deluzio, Christopher",D,Armed Services|Transportation and Infrastructure,https://deluzio.house.gov
345,Puerto Rico,Resident Commissioner,"Gonzalez-Colon, Jenniffer",R,Natural Resources|Transportation and Infrastructure,https://gonzalez-colon.house.gov
346,Rhode Island,1st,"Amo, Gabe",D,"Foreign Affairs|Science, Space, and Technology",https://amo.house.gov
347,Rhode Island,2nd,"Magaziner, Seth",D,Homeland Security|Natural Resources,https://magaziner.house.gov
348,South Carolina,1st,"Mace, Nancy",R,Armed Services|Oversight and Accountability|Veterans' Affairs,https://mace.house.gov
349,South Carolina,2nd,"Wilson, Joe",R,Armed Services|Education and the Workforce|Foreign Affairs,https://joewilson.house.gov/
350,South Carolina,3rd,"Duncan, Jeff",R,Energy and Commerce,https://jeffduncan.house.gov/
351,South Carolina,4th,"Timmons, William",R,Financial Services|Oversight and Accountability,https://timmons.house.gov/
352,South Carolina,5th,"Norman, Ralph",R,Financial Services|Budget|Rules,https://norman.house.gov
353,South Carolina,6th,"Clyburn, James",D,,https://clyburn.house.gov/
354,South Carolina,7th,"Fry, Russell",R,Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Judiciary,https://fry.house.gov
355,South Dakota,At Large,"Johnson, Dusty",R,Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://dustyjohnson.house.gov/
356,Tennessee,1st,"Harshbarger, Diana",R,Energy and Commerce,https://harshbarger.house.gov
357,Tennessee,2nd,"Burchett, Tim",R,Foreign Affairs|Oversight and Accountability|Transportation and Infrastructure,https://burchett.house.gov
358,Tennessee,3rd,"Fleischmann, Charles",R,"Appropriations|Science, Space, and Technology",https://fleischmann.house.gov/
359,Tennessee,4th,"DesJarlais, Scott",R,Agriculture|Armed Services,https://desjarlais.house.gov/
360,Tennessee,5th,"Ogles, Andrew",R,Financial Services,https://ogles.house.gov
361,Tennessee,6th,"Rose, John",R,Agriculture|Financial Services,https://johnrose.house.gov/
362,Tennessee,7th,"Green, Mark",R,Foreign Affairs|Homeland Security,https://markgreen.house.gov/
363,Tennessee,8th,"Kustoff, David",R,Ways and Means,https://kustoff.house.gov
364,Tennessee,9th,"Cohen, Steve",D,Judiciary|Transportation and Infrastructure,https://cohen.house.gov/
365,Texas,1st,"Moran, Nathaniel",R,Education and the Workforce|Foreign Affairs|Judiciary,https://moran.house.gov
366,Texas,2nd,"Crenshaw, Dan",R,Energy and Commerce|Intelligence,https://crenshaw.house.gov/
367,Texas,3rd,"Self, Keith",R,Foreign Affairs|Veterans' Affairs,https://keithself.house.gov
368,Texas,4th,"Fallon, Pat",R,Armed Services|Oversight and Accountability,https://fallon.house.gov
369,Texas,5th,"Gooden, Lance",R,Armed Services|Judiciary,https://gooden.house.gov
370,Texas,6th,"Ellzey, Jake",R,Appropriations|Small Business,https://ellzey.house.gov/
371,Texas,7th,"Fletcher, Lizzie",D,Energy and Commerce,https://fletcher.house.gov
372,Texas,8th,"Luttrell, Morgan",R,Armed Services|Homeland Security|Veterans' Affairs,https://luttrell.house.gov
373,Texas,9th,"Green, Al",D,Financial Services,https://algreen.house.gov
374,Texas,10th,"McCaul, Michael",R,Foreign Affairs|Homeland Security,https://mccaul.house.gov
375,Texas,11th,"Pfluger, August",R,Homeland Security|Energy and Commerce,https://pfluger.house.gov
376,Texas,12th,"Granger, Kay",R,Appropriations,https://kaygranger.house.gov
377,Texas,13th,"Jackson, Ronny",R,Agriculture|Armed Services|Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://jackson.house.gov
378,Texas,14th,"Weber, Randy",R,"Energy and Commerce|Science, Space, and Technology",https://weber.house.gov
379,Texas,15th,"De La Cruz, Monica",R,Agriculture|Financial Services,https://delacruz.house.gov
380,Texas,16th,"Escobar, Veronica",D,Armed Services|Judiciary|Ethics,https://escobar.house.gov
